dprime,threshold
0.166661795,1041.44
0.506694206,30.6
0.92074411,31.51
0.124611222,107.4
-0.535461434,65.69
-0.024500478,356.32
-0.168743326,66.88
-0.259113344,52.58
-0.319526469,180.88
0.222080749,39.83
0.247575471,551.32
0.37900845,60.47
0.624755442,77.18
-0.100307167,176.84
1.473897132,13.57
0.397768768,26.12
0.025258132,136.85
-0.096558615,37.91
0.127280201,41.37
-0.525887523,235.55
-0.712830618,1128
0,40.05
-0.295597632,251.86
0.372225915,11.34
-0.437631983,342.24
4.123103468,6.98
0.117775052,1200
0.604585347,31.07
0.269556044,160.99
0.024500478,637.53
0.874886084,22.84
-0.201192071,139.43
-0.00808319,30.51
-0.432999031,835.39
3.474172738,0.06
0.506694206,633.59
1.313807417,12.43
0,47.67
-0.024500478,41.88
0.4689722,128.55
3.500489435,86.58
2.751740629,17.94
0.611805896,140.57
-0.00808319,168.33
2.40274826,14.19
0.082952838,170.33
0.527285915,196.29
0.20319352,1031.59
-0.501764123,332.34
-0.194028142,31.94
0.632995091,20.35
0.404456537,65.42
2.580377733,30.98
0.294197664,38.33
0.417545216,62.52
0.10511169,47.68
0.926279073,122.72
0.319526469,14.48
-0.131973363,238.36
0.201122799,35.88
2.40274826,41.86
0,90.15
1.700760446,24.26
4.123833002,23.67
0.041701869,33.68
-0.194028142,123.32
0.276353657,220.2
0.826452595,22.74
0.233823634,1086.06
0.187599195,600.1
-0.607299121,48.46
0.201192071,20.93
-0.409896487,93.77
1.276815932,2.14
1.529679854,16.48
0.203803734,22.66
2.758053176,14.22
3.151819166,12.61
2.47638498,27.06
1.771293312,234.92
0.914704517,25.61
-0.404456537,38.64
0.398429971,22.88
-0.00808319,48.44
4.120906943,15.32
-0.370872038,51.95
0.298661598,321.34
0.357918271,15.63
-0.465500489,725.29
-0.060323686,203.7
0.319526469,1000.02
0.395725296,32.7
-0.239641833,222.83
0.693591869,418.85
-0.060323686,33.66
0.179700279,21.93
0.104633456,307.93
0.512667506,631.11
0.926279073,16.98
